paper_id,dblp_key,congress,level,area,year,window,country_code,source,method,confidence,matched_by,source_work_id,doi,matched_title,n_authors_with_profiles
P0496729,conf/aistats/ZhangRP25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Quantile Additive Trend Filtering,3
P0496656,conf/aistats/VashisthaF25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,0.9167,title_fuzzy,aistats.org/AISTATS/2025/Conference,,$\mathcal{I}$-trustworthy Models. A framework for trustworthiness evaluation of probabilistic classifiers,2
P0496398,conf/aistats/KalanNK25,AISTATS,A,IA / ML,2025,2021-2025,FR,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Transfer Neyman-Pearson Algorithm for Outlier Detection,3
P0496398,conf/aistats/KalanNK25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Transfer Neyman-Pearson Algorithm for Outlier Detection,3
P0496483,conf/aistats/MajidPAVR25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,On the Consistent Recovery of Joint Distributions from Conditionals,5
P0496547,conf/aistats/PavlovicSZ25a,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Order-Optimal Regret in Distributed Kernel Bandits using Uniform Sampling with Shared Randomness,3
P0496707,conf/aistats/YangZZ25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Testing Conditional Independence with Deep Neural Network Based Binary Expansion Testing (DeepBET),3
P0496294,conf/aistats/DongHGTP25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Variational Adversarial Training Towards Policies with Improved Robustness,5
P0496462,conf/aistats/LiuJMCS25,AISTATS,A,IA / ML,2025,2021-2025,CA,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Adversarial Vulnerabilities in Large Language Models for Time Series Forecasting,5
P0496462,conf/aistats/LiuJMCS25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Adversarial Vulnerabilities in Large Language Models for Time Series Forecasting,5
P0496535,conf/aistats/OsborneO25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,The Uniformly Rotated Mondrian Kernel,2
P0496647,conf/aistats/TothAOO25,AISTATS,A,IA / ML,2025,2021-2025,GB,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Learning to Forget: Bayesian Time Series Forecasting using Recurrent Sparse Spectrum Signature Gaussian Processes,4
P0496647,conf/aistats/TothAOO25,AISTATS,A,IA / ML,2025,2021-2025,JP,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Learning to Forget: Bayesian Time Series Forecasting using Recurrent Sparse Spectrum Signature Gaussian Processes,4
P0496695,conf/aistats/XuMMLTMV25,AISTATS,A,IA / ML,2025,2021-2025,CN,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Understanding the Learning Dynamics of LoRA: A Gradient Flow Perspective on Low-Rank Adaptation in Matrix Factorization,7
P0496695,conf/aistats/XuMMLTMV25,AISTATS,A,IA / ML,2025,2021-2025,US,openreview_expanded,expanded_venue_profile_title_match,1.0,title_exact,aistats.org/AISTATS/2025/Conference,,Understanding the Learning Dynamics of LoRA: A Gradient Flow Perspective on Low-Rank Adaptation in Matrix Factorization,7
